Count	NIS
0	0
1	0
2	0.728631
3	0.728631
4	4.83324
5	4.83324
6	8.88377
7	8.88377
8	6.71872
9	6.71872
10	1.91764
11	1.91764
12	9.96311
13	9.96311
14	3.32023
15	3.32023
16	5.85908
17	5.85908
18	7.7702
19	7.7702
20	2.6224
21	2.6224
22	0.50309
23	0.50309
24	1.76905
25	1.76905
26	1.89787
27	1.89787
28	1.82435
29	1.82435
30	0.348198
31	0.348198
32	0.818483
33	0.818483
34	0.156052
35	0.156052
36	4.94345
37	4.94345
38	0.674311
39	0.674311
40	0.661174
41	0.661174
42	2.55361
43	2.55361
44	0.360242
45	0.360242
46	0.428951
47	0.428951
48	2.91226
49	2.91226
50	1.46348
51	1.46348
52	1.0649
53	1.0649
54	0.661325
55	0.661325
56	2.1317
57	2.1317
58	1.14653
59	1.14653
60	1.04433
61	1.04433
62	0.545988
63	0.545988
64	0.424385
65	0.424385
66	0.258234
67	0.258234
68	0.545936
69	0.545936
70	0.338886
71	0.338886
72	2.2791
73	2.2791
74	0.0722646
75	0.0722646
76	1.3445
77	1.3445
78	3.09594
79	3.09594
80	2.3244
81	2.3244
82	3.0921
83	3.0921
84	3.6252
85	3.6252
86	6.98566
87	6.98566
88	3.03236
89	3.03236
90	0.375336
91	0.375336
92	0.472733
93	0.472733
94	1.79785
95	1.79785
96	0.596347
97	0.596347
98	0.921033
99	0.921033
100	0.666949
101	0.666949
102	1.8256
103	1.8256
104	0.0886574
105	0.0886574
106	3.34902
107	3.34902
108	0.292005
109	0.292005
110	0.0470223
111	0.0470223
112	1.21106
113	1.21106
114	2.6695
115	2.6695
116	2.85864
117	2.85864
118	0.53362
119	0.53362
120	2.0478
121	2.0478
122	0.029697
123	0.029697
124	1.02927
125	1.02927
126	2.07164
127	2.07164
128	2.85725
129	2.85725
130	2.00279
131	2.00279
132	0.19462
133	0.19462
134	0.962175
135	0.962175
136	1.16792
137	1.16792
138	1.29364
139	1.29364
140	0.774149
141	0.774149
142	0.860969
143	0.860969
144	0.984548
145	0.984548
146	0.0266386
147	0.0266386
148	2.55824
149	2.55824
150	2.77245
151	2.77245
152	0.371239
153	0.371239
154	1.42765
155	1.42765
156	0.1205
157	0.1205
158	2.01754
159	2.01754
160	0.524325
161	0.524325
162	0.431563
163	0.431563
164	3.33534
165	3.33534
166	0.959367
167	0.959367
168	0.75025
169	0.75025
170	2.40274
171	2.40274
172	2.79301
173	2.79301
174	0.15007
175	0.15007
176	3.52792
177	3.52792
178	0.698589
179	0.698589
180	0.235994
181	0.235994
182	0.640614
183	0.640614
184	1.05807
185	1.05807
186	0.401051
187	0.401051
188	1.57679
189	1.57679
190	0.59029
191	0.59029
192	2.35789
193	2.35789
194	1.95626
195	1.95626
196	1.09029
197	1.09029
198	3.60028
199	3.60028
200	0.792766
201	0.792766
202	0.033909
203	0.033909
204	3.84212
205	3.84212
206	1.85936
207	1.85936
208	1.60891
209	1.60891
210	3.45088
211	3.45088
212	0.210255
213	0.210255
214	1.17756
215	1.17756
216	3.37204
217	3.37204
218	1.90255
219	1.90255
220	2.47342
221	2.47342
222	0.966596
223	0.966596
224	0.69989
225	0.69989
226	5.91749
227	5.91749
228	2.45858
229	2.45858
230	1.11053
231	1.11053
232	0.867432
233	0.867432
234	0.694492
235	0.694492
236	5.90396
237	5.90396
238	0.231496
239	0.231496
240	0.291271
241	0.291271
242	0.893273
243	0.893273
244	0.831117
245	0.831117
246	2.46421
247	2.46421
248	0.287123
249	0.287123
250	1.24024
251	1.24024
252	1.00377
253	1.00377
254	2.22838
255	2.22838
256	2.60393
257	2.60393
258	0.941525
259	0.941525
260	0.0446751
261	0.0446751
262	0.815561
263	0.815561
264	0.585406
265	0.585406
266	1.25282
267	1.25282
268	3.40177
269	3.40177
270	1.94128
271	1.94128
272	0.176579
273	0.176579
274	0.242266
275	0.242266
276	7.14293
277	7.14293
278	0.579055
279	0.579055
280	1.51163
281	1.51163
282	0.347756
283	0.347756
284	0.932363
285	0.932363
286	1.47266
287	1.47266
288	1.12758
289	1.12758
290	3.94296
291	3.94296
292	1.01176
293	1.01176
294	1.90913
295	1.90913
296	0.483712
297	0.483712
298	1.13988
299	1.13988
300	0.449568
301	0.449568
302	6.82641
